parts,average_strength
Air filter,43.67
Asphalt shingles,37.33
Blinds,43.67
Block wall,34.67
Brick mortar,33.0
Brick wall,44.33
Brickwork,35.33
Building paper,33.67
Building trim,25.67
Ceiling grid,48.33
Ceiling material,17.0
Cement,36.33
Ceramic tile,43.67
Concrete blocks,38.0
Concrete mixer,37.67
Countertop,16.67
Door frame,37.33
Door stop,42.0
Drywall,44.0
Drywall screws,35.33
Exterior brick,16.33
Fasteners,44.0
Glass,49.67
Gypsum base,16.67
Hasp,22.0
Hydraulic push,41.0
Jackhammer,20.0
Joint compound,19.33
Ladder,48.0
Metal mesh,43.0
Non-ferrous metal,46.33
Outlet box,17.33
Projection base,44.33
Projection window,46.67
Radiator,37.0
Rebar,49.33
Reinforced concrete block,12.67
Soil,45.33
Stair runner,36.67
Steel frame,30.67
Steel frame structure,43.0
Stone,18.33
Tile joint material,28.0
Wallpaper,28.0
Wire cable,34.0
Wire mesh,48.33
Wooden ladder,48.0
